BASS	One who can’t hit high pitches?
BASS	Prominent feature of dubstep music
MRS	Fields of food?
MRS	“___ Doubtfire”
MRS	Half of a couple
RITE	Something observed in church
RITE	Bar mitzvah or communion
RITE	Mass observance
RITE	Ceremony
RITE	Confirmation, e.g.
IRIS	It’s responsible for controlling a pupil
IRIS	A pupil is in the middle of it
IRIS	“Bearded” flower
IRIS	Goddess who caused the Trojan women to riot in the “Aeneid”
IRIS	It’s in the eye of the beholder
IRIS	Pale purple shade
IRIS	Flower whose name means “rainbow”
IRIS	It’s all about the pupil
ENS	“Annie” characters
ENS	U.S.N. rank
ENS	Two of nine?
ENS	Sinner’s heart?
ENS	Tennis doubles?
RICEPILAF	One side of the Mideast
NLEAST	Mets’ division, for short
ETE	Burgundy season
ETE	Bordeaux toasting time
ETE	Summer, in much of West Africa
ETE	La saison chaude
ETE	Juillet’s time
ETE	Juillet et août
ETE	Summer on the Seine
TOMATOPASTE	Ketchup base
ORISON	“Ave Maria,” e.g.
LCD	TV screen option, in brief
LCD	Rock’s ___ Soundsystem
LCD	TV option, for short
BROWNIE	Base for some ice cream
STDENIS	First bishop of Paris
ELOI	Victims of the Morlocks, in sci-fi
ELOI	“The Time Machine” people
ELOI	Race in an H. G. Wells book
ELOI	Surface-dwelling race in “The Time Machine”
ELOI	Morlock victims, in science fiction
ELOI	Sci-fi race
ELOI	“The Time Machine” race
ELOI	Fictional race of the distant future
ELOI	Morlocks’ prey, in sci-fi
ROUX	Sauce thickener
ROUX	Gravy thickener
MYWORLD	2009 million-selling Justin Bieber release
REVUES	Some vaudeville fare
SWARD	Grassy surface
AMEBA	Slide presentation?
AMEBA	Low life?
ENIAC	Historic computer
WALDENPOND	Famed cabin site
ETAS	Flight figures, for short
ETAS	H H H
ETAS	Certain airline alerts, for short
ETAS	Itinerary data, for short
ETAS	Greek H’s
ETAS	Landing approximations, for short
ETAS	Info for some limo drivers
ETAS	Connection concerns, for short
LIVE	Start of a Saturday night catchphrase
LIVE	“___ a little!”
ROLLS	Dice tosses
ROLLS	Big cheese wheels?
ROLLS	Restaurant basketful
LOUREED	“Walk on the Wild Side” singer, 1973
BRAISED	Like Swiss steak
RISOTTO	Creamy, whitish dish
RISOTTO	Dish that’s stirred constantly when being made
DENALI	Landmark sometimes called “The Great One”
DENALI	Alaska’s ___ Park Road
NORA	One of Asta’s masters
NORA	Gumshoe Charles
NORA	Dunn formerly of “S.N.L.”
NORA	Romance writer Roberts
NORA	“When Harry Met Sally …” screenwriter Ephron
NORA	Ephron who wrote “When Harry Met Sally”
AMIS	French buds
AMIS	“Lucky Jim” author
AMIS	“The Zone of Interest” author, 2014
AMIS	Buds in Bordeaux
AMIS	French friends
OTOE	Western tribe
OTOE	Winnebago relative
OTOE	Some Great Plains residents
OTOE	Indian tribe that lent its name to a county in Nebraska
OTOE	Great Plains tribe
SWERVE	Try to avoid an accident, maybe
SWERVE	Take a sudden turn
HALOED	Lit from above?
YEW	Plant in an English hedge
YEW	Tree used in bow-making
YEW	It sounds like you
YEW	Tree whose name sounds like a letter of the alphabet
YEW	Tree with medicinal uses
ORDERAROUND	Boss
CRED	Street ___
CRED	Rep on the street
